,mean_test_score,params
0,-0.08976278036939739,{'learning_rate': 0.01}
1,-0.08933734561654529,{'learning_rate': 0.02}
2,-0.08961100008808143,{'learning_rate': 0.03}
3,-0.09015226692194249,{'learning_rate': 0.04}
4,-0.09053004677428665,{'learning_rate': 0.05}
5,-0.09058828273471513,{'learning_rate': 0.06}
6,-0.09064934915136758,{'learning_rate': 0.07}
7,-0.0911619057075255,{'learning_rate': 0.08}
8,-0.09168214442970544,{'learning_rate': 0.09}
9,-0.09196342944933264,{'learning_rate': 0.1}
10,-0.09215232568108454,{'learning_rate': 0.11}
11,-0.0924401124768361,{'learning_rate': 0.12}
12,-0.09297717737270558,{'learning_rate': 0.13}
13,-0.0933882787326471,{'learning_rate': 0.14}
14,-0.09356199095020208,{'learning_rate': 0.15}
15,-0.09342787737748122,{'learning_rate': 0.16}
16,-0.09418327505957788,{'learning_rate': 0.17}
17,-0.0941297979575197,{'learning_rate': 0.18}
18,-0.0951560946986917,{'learning_rate': 0.19}
19,-0.09496151595370433,{'learning_rate': 0.2}
20,-0.09554592283751755,{'learning_rate': 0.21}
21,-0.09605996892945498,{'learning_rate': 0.22}
22,-0.09633135357115366,{'learning_rate': 0.23}
23,-0.09665133240304448,{'learning_rate': 0.24}
24,-0.09715928754760639,{'learning_rate': 0.25}
25,-0.09786021504403439,{'learning_rate': 0.26}
26,-0.09766315686930949,{'learning_rate': 0.27}
27,-0.09959317261504412,{'learning_rate': 0.28}
28,-0.09860355174330057,{'learning_rate': 0.29}
29,-0.09882051098950775,{'learning_rate': 0.3}
30,-0.0994564598943177,{'learning_rate': 0.31}
31,-0.10017081553263449,{'learning_rate': 0.32}
32,-0.10039279732403221,{'learning_rate': 0.33}
33,-0.10114350500093364,{'learning_rate': 0.34}
34,-0.10111987450679108,{'learning_rate': 0.35}
35,-0.10221092285597363,{'learning_rate': 0.36}
36,-0.1016060233655525,{'learning_rate': 0.37}
37,-0.10313828225535777,{'learning_rate': 0.38}
38,-0.10358032356380678,{'learning_rate': 0.39}
